id,name,name_jp,name_ko,effect_entry,effect_entry_ko,effect_detail,introduced_generation_id
73,White Smoke,しろいけむり,하얀연기,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",하얀 연기의 보호를 받아 상대가 능력을 떨어뜨리지 못하게 한다.,"This Pokémon cannot have its stats lowered by other Pokémon.  This ability does not prevent any stat losses other than stat modifiers, such as the Speed cut from paralysis; nor self-inflicted stat drops, such as the Special Attack drop from overheat; nor opponent-triggered stat boosts, such as the Attack boost from swagger.  This Pokémon can still be passed negative stat modifiers through guard swap, heart swap, or power swap.  This ability functions identically to clear body in battle.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.",3
74,Pure Power,ヨガパワー,순수한힘,"Using its pure power, the Pokémon doubles its Attack stat.",요가의 힘으로 물리공격의 위력이 2배가 된다.,This Pokémon's Attack is doubled in battle.  This bonus does not count as a stat modifier.  This ability functions identically to huge power.,3
75,Shell Armor,シェルアーマー,조가비갑옷,A hard shell protects the Pokémon from critical hits.,단단한 껍질의 보호를 받아 상대의 공격이 급소에 맞지 않는다.,Moves cannot score critical hits against this Pokémon.  This ability functions identically to battle armor.,3
76,Air Lock,エアロック,에어록,Eliminates the effects of weather.,모든 날씨의 영향이 없어진다.,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.  This ability functions identically to cloud nine.",3
77,Tangled Feet,ちどりあし,갈지자걸음,Boosts the Pokémon's evasiveness if it is confused.,혼란 상태일 때는 회피율이 올라간다.,"When this Pokémon is confused, it has twice its evasion.",4
78,Motor Drive,でんきエンジン,전기엔진,"The Pokémon takes no damage when hit by Electric-type moves. Instead, its Speed stat is boosted.",전기타입의 기술로 공격받으면 데미지를 받지 않고 스피드가 올라간다.,"Whenever an electric-type move hits this Pokémon, its Speed rises one stage, negating any other effect on it.  This ability will not take effect if this Pokémon is immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.  This effect includes non-damaging moves, i.e. thunder wave.",4
79,Rivalry,とうそうしん,투쟁심,"The Pokémon's competitive spirit makes it deal more damage to Pokémon of the same gender, but less damage to Pokémon of the opposite gender.",성별이 같으면 투쟁심을 불태워 강해진다. 성별이 다르면 약해진다.,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.  If either Pokémon is genderless, damage is unaffected.",4
80,Steadfast,ふくつのこころ,불굴의마음,The Pokémon's determination boosts its Speed stat every time it flinches.,풀죽을 때마다 불굴의 마음을 불태워 스피드가 올라간다.,"Whenever this Pokémon flinches, its Speed rises one stage.",4
81,Snow Cloak,ゆきがくれ,눈숨기,Boosts the Pokémon's evasiveness in snow.,날씨가 눈일 때 회피율이 올라간다.,"During hail/snowstorm, this Pokémon has 1.25× its evasion, and it does not take hail damage regardless of type.  The evasion bonus does not count as a stat modifier.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in snow.",4
82,Gluttony,くいしんぼう,먹보,"If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less.",HP가 줄어들면 먹을 나무열매를 HP가 절반일 때 먹어 버린다.,"This Pokémon eats any held Berry triggered by low HP when it falls below 50% of its HP, regardless of the Berry's usual threshold.",4
83,Anger Point,いかりのつぼ,분노의경혈,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.",급소에 공격이 맞으면 크게 분노해 공격력이 최대가 된다.,"Whenever this Pokémon receives a critical hit, its Attack rises to the maximum of 6 stages.  This ability will still take effect if the critical hit is received by a substitute.",4
84,Unburden,かるわざ,곡예,Boosts the Speed stat if the Pokémon's held item is used or lost.,지니던 도구가 없어지면 스피드가 올라간다.,"When this Pokémon uses or loses its held item, its Speed is doubled.  If it gains another item or leaves battle, this bonus is lost.  This includes when the Pokémon drops its item because of knock off.  This bonus does not count as a stat modifier.  There is no notification when this ability takes effect.",4
85,Heatproof,たいねつ,내열,The Pokémon's heatproof body halves the damage taken from Fire-type moves.,내열인 몸으로 인해 불꽃타입 공격의 데미지를 반감한다.,This Pokémon takes half as much damage from fire-type moves and burns.,4
86,Simple,たんじゅん,단순,Doubles the effects of the Pokémon's stat changes.,능력 변화가 평소의 2배가 된다.,"Each stage of this Pokémon's stat modifiers acts as two stages.  These doubled stages are still limited to a minimum of -6 and a maximum of 6.  This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling.",4
87,Dry Skin,かんそうはだ,건조피부,"Restores the Pokémon's HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",비가 오는 날씨나 물타입의 기술로 공격받으면 HP가 회복되고 맑을 때나 불꽃타입의 기술로 공격받으면 줄어든다.,"This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain.  This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.",4
88,Download,ダウンロード,다운로드,The Pokémon compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat — whichever will be more effective.,상대의 방어와 특수방어를 비교해서 낮은 쪽 능력에 맞춰서 자신의 공격이나 특수공격을 올린다.,"When this Pokémon enters battle, its Attack or Special Attack, whichever corresponds to its opponents' weaker total defensive stat, rises one stage.  In the event of a tie, Special Attack is raised.  This ability also takes effect when acquired during a battle.",4
89,Iron Fist,てつのこぶし,철주먹,Powers up punching moves.,펀치를 사용하는 기술의 위력이 올라간다.,"Moves flagged as being punch-based have 1.2× their base power for this Pokémon.  sucker punch is not flagged as punch-based; its original, Japanese name only means ""surprise attack"".",4
90,Poison Heal,ポイズンヒール,포이즌힐,"If poisoned, the Pokémon has its HP restored instead of taking damage.",독 상태가 되면 HP가 줄지 않고 증가한다.,"If this Pokémon is poisoned, it will heal for 1/8 of its maximum HP after each turn rather than taking damage.  This includes bad poison.",4
91,Adaptability,てきおうりょく,적응력,Powers up moves of the same type as the Pokémon.,자신과 같은 타입인 기술의 위력이 올라간다.,"This Pokémon inflicts twice as much damage with moves whose types match its own, rather than the usual same-type attack bonus of 1.5×.",4
92,Skill Link,スキルリンク,스킬링크,Maximizes the number of times multistrike moves hit.,연속 기술을 사용하면 항상 최고 횟수로 사용할 수 있다.,"This Pokémon always hits five times with two-to-five-hit moves, such as icicle spear.  It also bypasses the accuracy checks on triple kick's second and third hits.",4
93,Hydration,うるおいボディ,촉촉바디,Cures the Pokémon's status conditions in rain.,비가 오는 날씨일 때 상태 이상이 회복된다.,This Pokémon is cured of any major status ailment after each turn during rain.,4
94,Solar Power,サンパワー,선파워,"In harsh sunlight, the Pokémon's Sp. Atk stat is boosted, but its HP decreases every turn.",날씨가 맑으면 특수공격이 올라가지만 매 턴 HP가 줄어든다.,"During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.",4
95,Quick Feet,はやあし,속보,Boosts the Speed stat if the Pokémon has a status condition.,상태 이상이 되면 스피드가 올라간다.,"Whenever this Pokémon has a major status ailment, it has 1.5× its Speed.  This Pokémon is not affected by the usual Speed cut from paralysis.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.",4
96,Normalize,ノーマルスキン,노말스킨,All the Pokémon's moves become Normal type. The power of those moves is boosted a little.,사용하는 기술의 타입이 모두 노말타입이 된다. 위력이 조금 올라간다.,"This Pokémon's moves all act as if they were normal-type.  Moves that inflict typeless damage do so as usual.  Moves of variable type, such as hidden power, are affected.  They otherwise work as usual, however; weather ball, for example, is always forced to be Normal, but it still has doubled power and looks different during weather.  As thunder wave is prevented by immunities, unlike most non-damaging moves, it does not affect ghost-type Pokémon under the effect of this ability.",4
97,Sniper,スナイパー,스나이퍼,"If the Pokémon's attack lands a critical hit, the attack is powered up even further.",공격을 급소에 맞혔을 때 위력이 더욱 올라간다.,"This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.",4
98,Magic Guard,マジックガード,매직가드,The Pokémon only takes damage from attacks.,공격 이외에는 데미지를 받지 않는다.,"This Pokémon is immune to damage not directly caused by a move.  For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it.  Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon.  The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion.  This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze.  If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.",4
99,No Guard,ノーガード,노가드,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,노가드전법에 따라 서로가 사용하는 기술이 반드시 맞게 된다.,"Moves used by or against this Pokémon never miss.  One-hit KO moves are unaffected.  Moves affected by this ability can hit Pokémon during the preparation turn of moves like dig or fly.  Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",4
100,Stall,あとだし,시간벌기,The Pokémon is always the last to use its moves.,기술을 사용하는 순서가 반드시 마지막이 된다.,"This Pokémon moves last within its priority bracket.  Multiple Pokémon with this ability move in order of Speed amongst themselves.  The full incense and lagging tail take precedence over this ability; that is, Pokémon with these items move after Pokémon with this ability.  Pokémon with both this ability and one of these items are delayed as much as if they had only the item.  This ability works as usual during trick room: Pokémon with this ability will move in reverse order of Speed after Pokémon without it.",4
101,Technician,テクニシャン,테크니션,Powers up weak moves so the Pokémon can deal more damage with them.,위력이 약한 기술의 위력을 올려서 공격할 수 있다.,"This Pokémon's moves have 1.5× their power if their base power is 60 or less.  This includes moves of variable power, such as hidden power and magnitude, when their power is 60 or less.  helping hand's power boost is taken into account for any move, as is defense curl's power boost for rollout.",4
102,Leaf Guard,リーフガード,리프가드,Prevents status conditions in harsh sunlight.,날씨가 맑을 때는 상태 이상이 되지 않는다.,"This Pokémon cannot be given a major status ailment during strong sunlight.  This ability does not heal prior status ailments.  rest will fail altogether with this ability in effect.  yawn will immediately fail if used on this Pokémon during strong sunlight, and an already-used Yawn will fail if the weather turns to strong sunlight in the meantime.",4
103,Klutz,ぶきよう,서투름,The Pokémon can't use any held items.,지니고 있는 도구를 쓸 수 없다.,"In battle, this Pokémon cannot use its held item, nor will the item have any passive effect on the battle, positive or negative.  This Pokémon also cannot use fling.  The Speed cut from the iron ball and the effort items (the macho brace, power weight, power bracer, power belt, power lens, power band, and power anklet) is unaffected.  Items that do not directly affect the battle, such as the exp share, the amulet coin, or the soothe bell, work as usual.  All held items work as usual out of battle.  Other moves that use the held item, such as natural gift and switcheroo, work as usual.",4
104,Mold Breaker,かたやぶり,틀깨기,The Pokémon's moves are unimpeded by the Ability of the target.,상대 특성에 방해받지 않고 상대에게 기술을 쓸 수 있다.,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.  For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.  Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.  An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.  When this Pokémon enters battle, all participating trainers are notified that it has this ability.  This ability functions identically to teravolt and turboblaze.",4
105,Super Luck,きょううん,대운,The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.,대운을 가지고 있어 상대의 급소에 공격이 맞기 쉽다.,This Pokémon's moves have critical hit rates one stage higher than normal.,4
106,Aftermath,ゆうばく,유폭,Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.,기절했을 때 접촉한 상대에게 데미지를 준다.,"When this Pokémon is knocked out by a move that makes contact, the move's user takes 1/4 its maximum HP in damage.",4
107,Anticipation,きけんよち,위험예지,The Pokémon can sense an opposing Pokémon's dangerous moves.,상대가 지닌 위험한 기술을 감지할 수 있다.,"When this Pokémon enters battle, if one of its opponents has a move that is super effective against it, self destruct, explosion, or a one-hit knockout move, all participating trainers are notified.  The move itself is not revealed; only that there is such a move.  Moves that inflict typeless damage, such as future sight, and moves of variable type, such as hidden power, count as their listed types.  counter, metal burst, mirror coat, and one-hit KO moves to which this Pokémon is immune do not trigger this ability.",4
108,Forewarn,よちむ,예지몽,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.",등장했을 때 상대가 지닌 기술을 하나만 간파한다.,"When this Pokémon enters battle, it reveals the move with the highest base power known by any opposing Pokémon to all participating trainers.  In the event of a tie, one is chosen at random.  Moves without a listed base power are assigned one as follows:  Power | Moves ----: | -----   160 | One-hit KO moves: fissure, guillotine, horn drill, and sheer cold   120 | Counter moves: counter, metal burst, and mirror coat    80 | Variable power or set damage: crush grip, dragon rage, electro ball, endeavor, final gambit, flail, frustration, grass knot, gyro ball, heat crash, heavy slam, hidden power, low kick, natural gift, night shade, psywave, return, reversal, seismic toss, sonic boom, trump card, and wring out     0 | Any such move not listed ",4
109,Unaware,てんねん,천진,"When attacking, the Pokémon ignores the target's stat changes.",상대의 능력 변화를 무시하고 공격할 수 있다.,"This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation.  Effectively, this affects modifiers of every stat except Speed.  The power of punishment and stored power is calculated as usual.  When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual.",4
110,Tinted Lens,いろめがね,색안경,"The Pokémon can use ""not very effective"" moves to deal regular damage.",효과가 별로인 기술을 통상의 위력으로 쓸 수 있다.,This Pokémon deals twice as much damage with moves that are not very effective against the target.,4
111,Filter,フィルター,필터,Reduces the power of supereffective attacks that hit the Pokémon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.,This Pokémon takes 0.75× as much damage from moves that are super effective against it.  This ability functions identically to solid rock.,4
112,Slow Start,スロースタート,슬로스타트,"For five turns, the Pokémon's Attack and Speed stats are halved.",5턴 동안 공격과 스피드가 절반이 된다.,"This Pokémon's Attack and Speed are halved for five turns upon entering battle.  This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was.",4
113,Scrappy,きもったま,배짱,The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.,노말타입과 격투타입 기술을 고스트타입에게 맞힐 수 있다. 위협을 당해도 동요하지 않는다.,This Pokémon ignores ghost-type Pokémon's immunity to normal- and fighting-type moves.  Ghost Pokémon's other types affect damage as usual.,4
114,Storm Drain,よびみず,마중물,"The Pokémon draws in all Water-type moves. Instead of taking damage from them, its Sp. Atk stat is boosted.",물타입의 기술을 자신에게 끌어모아 데미지를 받지 않고 특수공격이 올라간다.,"All other Pokémon's single-target water-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.  If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.",4
115,Ice Body,アイスボディ,아이스바디,The Pokémon gradually regains HP in snow.,날씨가 눈일 때 HP를 조금씩 회복한다.,"This Pokémon heals for 1/16 of its maximum HP after each turn during hail/snowstorm, and it does not take hail damage regardless of type.",4
116,Solid Rock,ハードロック,하드록,Reduces the power of supereffective attacks that hit the Pokémon.,자신이 받는 효과가 굉장한 공격의 위력을 약하게 만든다.,This Pokémon takes 0.75× as much damage from moves that are super effective against it.  This ability functions identically to filter.,4
117,Snow Warning,ゆきふらし,눈퍼뜨리기,The Pokémon makes it snow when it enters a battle.,등장했을 때 날씨를 눈으로 만든다.,"The weather changes to hail/snowstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition.  If multiple Pokémon with this ability, drizzle, drought, or sand stream are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay. If the weather is extremely harsh sunlight, heavy rain, or mysterious air current, this ability will not be activated.",4
118,Honey Gather,みつあつめ,꿀모으기,The Pokémon may gather Honey after a battle.,배틀이 끝났을 때 달콤한꿀을 주울 때가 있다.,"This Pokémon has a chance of picking up honey after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.  This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",4
119,Frisk,おみとおし,통찰,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",등장했을 때 상대의 지닌 물건을 통찰할 수 있다.,"When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.  In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.",4
120,Reckless,すてみ,이판사판,Powers up moves that have recoil damage.,반동 데미지를 받는 기술의 위력이 올라간다.,"This Pokémon's recoil moves and crash moves have 1.2× their base power.  struggle is unaffected.  The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick.",4
121,Multitype,マルチタイプ,멀티타입,Changes the Pokémon's type to match the plate it holds.,지니고 있는 플레이트나 Z크리스탈 타입에 따라 자신의 타입이 바뀐다. 이 특성은 무시할 수 없다.,"If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.  This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.  This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.  If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.",4
122,Flower Gift,フラワーギフト,플라워기프트,Boosts the Attack and Sp. Def stats of the Pokémon and its allies in harsh sunlight.,날씨가 맑을 때 자신과 같은 편의 공격과 특수방어의 능력이 올라간다.,"Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.  Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.",4
123,Bad Dreams,ナイトメア,나이트메어,Damages opposing Pokémon that are asleep.,잠듦 상태의 상대에게 데미지를 준다.,Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.,4
124,Pickpocket,わるいてぐせ,나쁜손버릇,The Pokémon steals the held item from attackers that make direct contact with it.,자신에게 접촉한 상대의 도구를 훔친다.,"Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.  This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.",5
125,Sheer Force,ちからずく,우격다짐,"Removes any additional effects from the Pokémon's moves, but increases the moves' power.",기술의 추가 효과가 없어지지만 그만큼 높은 위력으로 기술을 사용할 수 있다.,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.  An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.  Moves that lower the user's stats are unaffected.",5
126,Contrary,あまのじゃく,심술꾸러기,Reverses any stat changes affecting the Pokémon so that attempts to boost its stats instead lower them — and attempts to lower its stats will boost them.,능력의 변화가 역전해서 올라갈 때 떨어지고 떨어질 때 올라간다.,"Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.",5
127,Unnerve,きんちょうかん,긴장감,Unnerves opposing Pokémon and makes them unable to eat Berries.,상대를 긴장시켜 나무열매를 먹지 못하게 한다.,Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.  Affected Pokémon can still use bug bite or pluck to eat a target's Berry.,5
128,Defiant,まけんき,오기,"If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply.",상대에 의해 능력이 떨어지면 공격이 크게 올라간다.,"When any of this Pokémon's stats are lowered, its Attack rises by two stages.  If multiple stats are lowered at once, this ability takes effect with each stat lowered.",5
129,Defeatist,よわき,무기력,Halves the Pokémon's Attack and Sp. Atk stats when its HP drops to half or less.,HP가 절반이 되면 무기력해져서 공격과 특수공격이 반감된다.,This Pokémon's Attack and Special Attack are halved when it has half its HP or less.,5
130,Cursed Body,のろわれボディ,저주받은바디,May disable a move that has dealt damage to the Pokémon.,공격을 받으면 상대의 기술을 사슬묶기 상태로 만들 때가 있다.,Moves that hit this Pokémon have a 30% chance of being Disabled afterward.,5
131,Healer,いやしのこころ,치유의마음,Sometimes cures the status conditions of the Pokémon's allies.,같은 편의 상태 이상을 가끔 회복시킨다.,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.,5
132,Friend Guard,フレンドガード,프렌드가드,Reduces damage dealt to allies.,같은 편의 데미지를 줄일 수 있다.,All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.  This effect stacks if multiple allied Pokémon have it.,5
133,Weak Armor,くだけるよろい,깨어진갑옷,"The Pokémon's Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted.",물리 기술로 데미지를 받으면 방어가 떨어지고 스피드가 크게 올라간다.,"Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.  This ability triggers on every hit of a multiple-hit move.",5
134,Heavy Metal,ヘヴィメタル,헤비메탈,Doubles the Pokémon's weight.,자신의 무게가 2배가 된다.,This Pokémon has double the usual weight for its species.,5
135,Light Metal,ライトメタル,라이트메탈,Halves the Pokémon's weight.,자신의 무게가 절반이 된다.,This Pokémon has half the usual weight for its species.,5
136,Multiscale,マルチスケイル,멀티스케일,Reduces the amount of damage the Pokémon takes while its HP is full.,HP가 꽉 찼을 때 받는 데미지가 줄어든다.,This Pokémon takes half as much damage when it is hit having full HP.,5
137,Toxic Boost,どくぼうそう,독폭주,Powers up physical moves when the Pokémon is poisoned.,독 상태가 되었을 때 물리 기술의 위력이 올라간다.,This Pokémon has 1.5× its Attack when poisoned.,5
138,Flare Boost,ねつぼうそう,열폭주,Powers up special moves when the Pokémon is burned.,화상 상태가 되었을 때 특수 기술의 위력이 올라간다.,This Pokémon has 1.5× its Special Attack when burned.,5
139,Harvest,しゅうかく,수확,May create another Berry after one is used.,사용한 나무열매를 몇 번이고 만들어 낸다.,"After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.",5
140,Telepathy,テレパシー,텔레파시,The Pokémon anticipates and dodges the attacks of its allies.,같은 편의 공격을 간파하여 기술을 회피한다.,"This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.",5
141,Moody,ムラっけ,변덕쟁이,"Every turn, one of the Pokémon's stats will be boosted sharply, but another stat will be lowered.",매 턴 능력 중 하나가 크게 오르고 하나가 떨어진다.,"After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.  If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.",5
142,Overcoat,ぼうじん,방진,The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.,모래바람에 데미지를 받지 않는다. 가루나 포자의 영향도 받지 않는다.,This Pokémon does not take damage from weather.,5
143,Poison Touch,どくしゅ,독수,May poison a target when the Pokémon makes contact.,접촉하기만 해도 상대를 독 상태로 만들 떄가 있다.,This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.  This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.,5
144,Regenerator,さいせいりょく,재생력,The Pokémon has a little of its HP restored when withdrawn from battle.,지닌 포켓몬으로 돌아오면 HP를 조금 회복한다.,This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.  This ability does not take effect when a battle ends.,5
145,Big Pecks,はとむね,부풀린가슴,Prevents the Pokémon from having its Defense stat lowered.,방어를 떨어뜨리는 효과를 받지 않는다.,This Pokémon's Defense cannot be lowered by other Pokémon.  This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.,5
146,Sand Rush,すなかき,모래헤치기,Boosts the Pokémon's Speed stat in a sandstorm.,날씨가 모래바람일 때 스피드가 올라간다.,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.",5
147,Wonder Skin,ミラクルスキン,미라클스킨,Makes status moves more likely to miss the Pokémon.,변화 기술을 받기 어려운 몸으로 되어 있다.,Non-damaging moves have exactly 50% base accuracy against this Pokémon.,5
148,Analytic,アナライズ,애널라이즈,Boosts the power of the Pokémon's move if it is the last to act that turn.,제일 마지막에 기술을 쓰면 기술의 위력이 올라간다.,This Pokémon's moves have 1.3× their power when it moves last in a turn.  future sight and doom desire are unaffected.,5
149,Illusion,イリュージョン,일루전,The Pokémon fools opponents by entering battle disguised as the last Pokémon in its Trainer's party.,지닌 포켓몬 중 제일 뒤에 있는 포켓몬으로 둔갑하여 나와서 상대를 속인다.,"This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.  Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.  If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.",5
150,Imposter,かわりもの,괴짜,The Pokémon transforms itself into the Pokémon it's facing.,눈앞의 포켓몬으로 변신해 버린다.,This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.,5
151,Infiltrator,すりぬけ,틈새포착,"The Pokémon's moves are unaffected by the target's barriers, substitutes, and the like.",상대의 벽이나 대타출동을 뚫고 공격할 수 있다.,"This Pokémon's moves ignore light screen, reflect, and safeguard.",5
152,Mummy,ミイラ,미라,Contact with the Pokémon changes the attacker's Ability to Mummy.,상대가 접촉하면 상대를 미라로 만들어 버린다.,"Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.  multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.",5
153,Moxie,じしんかじょう,자기과신,"When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat.",상대를 쓰러뜨리면 자신감이 붙어서 공격이 올라간다.,"This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.  This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.  If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.",5
154,Justified,せいぎのこころ,정의의마음,"When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice.",악타입 공격을 받으면 정의감으로 공격이 올라간다.,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage.  The move is not negated in any way.",5
