id,name,name_jp,name_ko,effect_entry,effect_entry_ko,type_id,damage_class_id,power,accuracy,pp,priority,move_target_id,is_contact,crit_rate,drain,healing,min_hits,max_hits,introduced_in_generation_id
167,Triple Kick,トリプルキック,트리플킥,"Inflicts regular damage. Hits three times in the same turn. The second hit has double power, and the third hit has triple power. Each hit has a separate accuracy check, and this move stops if a hit misses. skill link does not apply.",3회 연속으로 킥을 날려 공격한다. 기술이 맞을 때마다 위력이 올라간다.,1,0,10,90,10,0,0,1,,,,3,3,2
168,Thief,どろぼう,도둑질,"Inflicts regular damage. If the target is holding an item and the user is not, the user will permanently take the item. Damage is still inflicted if an item cannot be taken. Pokémon with sticky hold or multitype are immune to the item theft effect. The target cannot recover its item with recycle. This move cannot be selected by assist or metronome.",공격과 동시에 도구를 훔친다. 자신이 도구를 지니고 있을 경우에는 훔칠 수 없다.,16,0,60,100,25,0,0,1,,,,,,2
169,Spider Web,クモのす,거미집,"The target cannot switch out normally. Ignores accuracy and evasion modifiers. This effect ends when the user leaves the field. The target may still escape by using baton pass, u turn, or a shed shell. Both the user and the target pass on this effect with baton pass.",끈적끈적하고 가는 실을 칭칭 휘감아 상대를 배틀에서 도망칠 수 없게 한다.,6,2,,,10,0,0,0,,,,,,2
170,Mind Reader,こころのめ,마음의눈,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit. This move itself also ignores accuracy and evasion modifiers. One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target. This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly. If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection. This effect is passed on by baton pass.",상대의 움직임을 마음으로 읽고 다음 공격이 반드시 상대에게 명중되게 한다.,0,2,,,5,0,0,0,,,,,,2
171,Nightmare,あくむ,악몽,"Only works on sleeping Pokémon. Gives the target a nightmare, damaging it for 1/4 its max HP every turn. If the target wakes up or leaves the field, this effect ends.",잠듦 상태의 상대에게 악몽을 꾸게 하여 매 턴 조금씩 HP를 떨어뜨려 간다.,7,2,,100,15,0,0,0,,,,,,2
172,Flame Wheel,かえんぐるま,화염바퀴,"Inflicts regular damage. Has a 10% chance to burn the target. Frozen Pokémon may use this move, in which case they will thaw.",불꽃을 둘러 상대에게 돌진하여 공격한다. 화상 상태로 만들 때가 있다.,9,0,60,100,25,0,0,1,,,,,,2
173,Snore,いびき,코골기,Only usable if the user is sleeping. Inflicts regular damage. Has a 30% chance to make the target flinch.,자신이 잠들어있을 때 소음을 내어 공격한다. 상대를 풀죽게 만들 때가 있다.,0,1,50,100,15,0,0,0,,,,,,2
174,Curse,のろい,저주,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn. Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each. The curse effect is passed on by baton pass. This move cannot be copied by mirror move.",기술을 쓰는 포켓몬이 고스트타입일 때와 그 이외의 타입일 때는 효과가 다르다.,19,2,,,10,0,15,0,,,,,,2
175,Flail,じたばた,바둥바둥,Inflicts regular damage. Power varies inversely with the user's proportional remaining HP. 64 * current HP / max HP | Power -----------------------: | ----: 0– 1          | 200 2– 5          | 150 6–12          | 100 13–21          |  80 22–42          |  40 43–64          |  20 ,바둥바둥 난동 부려서 공격한다. 자신의 HP가 적을수록 기술의 위력이 올라간다.,0,0,,100,15,0,0,1,,,,,,2
176,Conversion 2,テクスチャー２,텍스처2,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it. The new type is selected at random and cannot be a type the user already is. If there is no eligible new type, this move will fail.",상대가 마지막으로 쓴 기술에 저항할 수 있도록 자신의 타입을 변화시킨다.,0,2,,,30,0,0,0,,,,,,2
177,Aeroblast,エアロブラスト,에어로블라스트,Inflicts regular damage. User's critical hit rate is one level higher when using this move.,공기의 소용돌이를 발사하여 공격한다. 급소에 맞기 쉽다.,2,1,100,95,5,0,1,0,1,,,,,2
178,Cotton Spore,わたほうし,목화포자,Lowers the target's Speed by two stages.,솜처럼 폭신폭신한 포자를 착 달라붙게 해서 상대의 스피드를 크게 떨어뜨린다.,11,2,,100,40,0,6,0,,,,,,2
179,Reversal,きしかいせい,기사회생,Inflicts regular damage. Power varies inversely with the user's proportional remaining HP. 64 * current HP / max HP | Power -----------------------: | ----: 0– 1          | 200 2– 5          | 150 6–12          | 100 13–21          |  80 22–42          |  40 43–64          |  20 ,힘을 쥐어짜서 공격한다. 자신의 HP가 적을수록 기술의 위력이 올라간다.,1,0,,100,15,0,0,1,,,,,,2
180,Spite,うらみ,원한,"Lowers the PP of the target's last used move by 4. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail.",상대가 마지막으로 사용한 기술에 원한을 품어 그 기술의 PP를 4만큼 줄인다.,7,2,,100,10,0,0,0,,,,,,2
181,Powder Snow,こなゆき,눈싸라기,Inflicts regular damage. Has a 10% chance to freeze the target.,차가운 가랑눈을 상대에게 내뿜어 공격한다. 얼음 상태로 만들 때가 있다.,14,1,40,100,25,0,6,0,,,,,,2
182,Protect,まもる,방어,"No moves will hit the user for the remainder of this turn. If the user is last to act this turn, this move will fail. If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail. lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move. This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move. thunder during rain dance and blizzard during hail have a 30% chance to break through this move. The following effects are not prevented by this move: * acupressure from an ally * curse's curse effect * Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn * feint, which will also end this move's protection after it hits * imprison * perish song * shadow force * Moves that merely copy the user, such as transform or psych up This move cannot be selected by assist or metronome.",상대의 공격을 전혀 받지 않는다. 연속으로 쓰면 실패하기 쉽다.,0,2,,,10,4,9,0,,,,,,2
183,Mach Punch,マッハパンチ,마하펀치,Inflicts regular damage.,눈에 보이지 않는 굉장한 속도로 펀치를 날린다. 반드시 선제공격을 할 수 있다.,1,0,40,100,30,1,0,1,,,,,,2
184,Scary Face,こわいかお,겁나는얼굴,Lowers the target's Speed by two stages.,무서운 얼굴로 노려보고 겁주어 상대의 스피드를 크게 떨어뜨린다.,0,2,,100,10,0,0,0,,,,,,2
185,Feint Attack,だましうち,속여때리기,Inflicts regular damage. Ignores accuracy and evasion modifiers.,슬금슬금 상대에게 다가가 방심한 틈을 타서 세게 때린다. 공격은 반드시 명중한다.,16,0,60,,20,0,0,1,,,,,,2
186,Sweet Kiss,てんしのキッス,천사의키스,Confuses the target.,천사처럼 귀엽게 키스하여 상대를 혼란시킨다.,17,2,,75,10,0,0,0,,,,,,2
187,Belly Drum,はらだいこ,배북,"User pays half its max HP to raise its Attack to +6 stages. If the user cannot pay the HP cost, this move will fail.",자신의 HP를 최대 HP의 절반만큼 감소시켜 자신의 공격을 최대로 올린다.,0,2,,,10,0,9,0,,,,,,2
188,Sludge Bomb,ヘドロばくだん,오물폭탄,Inflicts regular damage. Has a 30% chance to poison the target.,더러운 오물을 상대에게 내던져서 공격한다. 독 상태로 만들 때가 있다.,3,1,90,100,10,0,0,0,,,,,,2
189,Mud-Slap,どろかけ,진흙뿌리기,Inflicts regular damage. Has a 100% chance to lower the target's accuracy by one stage.,상대의 얼굴 등에 진흙을 내던져서 공격한다. 명중률을 떨어뜨린다.,4,1,20,100,10,0,0,0,,,,,,2
190,Octazooka,オクタンほう,대포무노포,Inflicts regular damage. Has a 50% chance to lower the target's accuracy by one stage.,상대의 얼굴 등에 먹물을 내뿜어 공격한다. 명중률을 떨어뜨릴 때가 있다.,10,1,65,85,10,0,0,0,,,,,,2
191,Spikes,まきびし,압정뿌리기,"Scatters spikes around the opposing field, which damage opposing Pokémon that enter the field for 1/8 of their max HP. Pokémon immune to ground moves are immune to this damage, except during gravity. Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max HP, and three layers damage for 1/4 max HP. wonder guard does not block damage from this effect. rapid spin removes this effect from its user's side of the field. defog removes this effect from its target's side of the field.",상대의 발밑에 압정을 뿌린다. 교체된 상대 포켓몬에게 데미지를 준다.,4,2,,,20,0,13,0,,,,,,2
192,Zap Cannon,でんじほう,전자포,Inflicts regular damage. Has a 100% chance to paralyze the target.,대포처럼 전기를 발사해서 공격한다. 상대를 마비 상태로 만든다.,12,1,120,50,5,0,0,0,,,,,,2
193,Foresight,みやぶる,꿰뚫어보기,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field. A ghost under this effect takes normal damage from normal and fighting moves. This move itself ignores accuracy and evasion modifiers.,고스트타입에 효과가 없는 기술이나 회피율이 높은 상대라 할지라도 공격이 맞게 된다.,0,2,,,40,0,0,0,,,,,,2
194,Destiny Bond,みちづれ,길동무,"If the user faints before its next move, the Pokémon that fainted it will automatically faint. End-of-turn damage is ignored. This move cannot be selected by assist or metronome.",기술을 쓴 뒤 공격을 받아 기절했을 때 길동무의 대상도 기절하게 한다.,7,2,,,5,0,9,0,,,,,,2
195,Perish Song,ほろびのうた,멸망의노래,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one. When a Pokémon's counter reaches zero, that Pokémon faints. A Pokémon that leaves the field will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain. This effect is passed on by baton pass. This move cannot be copied by mirror move.",노래를 들은 포켓몬은 3턴이 지나면 기절한다. 교체되면 효과가 없어진다.,0,2,,,5,0,10,0,,,,,,2
196,Icy Wind,こごえるかぜ,얼어붙은바람,Inflicts regular damage. Has a 100% chance to lower the target's Speed by one stage.,차가운 냉기를 상대에게 내뿜어 공격한다. 상대의 스피드를 떨어뜨린다.,14,1,55,95,15,0,6,0,,,,,,2
197,Detect,みきり,판별,"No moves will hit the user for the remainder of this turn. If the user is last to act this turn, this move will fail. If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail. lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move. This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move. thunder during rain dance and blizzard during hail have a 30% chance to break through this move. The following effects are not prevented by this move: * acupressure from an ally * curse's curse effect * Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn * feint, which will also end this move's protection after it hits * imprison * perish song * shadow force * Moves that merely copy the user, such as transform or psych up This move cannot be selected by assist or metronome.",상대의 공격을 전혀 받지 않는다. 연속으로 쓰면 실패하기 쉽다.,1,2,,,5,4,9,0,,,,,,2
198,Bone Rush,ボーンラッシュ,본러시,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use.",단단한 뼈로 상대를 세게 때려서 공격한다. 2-5회 동안 연속으로 쓴다.,4,0,25,90,10,0,0,0,,,,2,5,2
199,Lock-On,ロックオン,록온,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit. This move itself also ignores accuracy and evasion modifiers. One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target. This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly. If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection. This effect is passed on by baton pass.",조준을 잘 맞춰 다음 공격이 반드시 상대에게 명중하도록 한다.,0,2,,,5,0,0,0,,,,,,2
200,Outrage,げきりん,역린,"Inflicts regular damage. User is forced to attack with this move for 2–3 turns,selected at random. After the last hit, the user becomes confused. safeguard does not protect against the confusion from this move.",2-3턴 동안 마구 난동 부려서 공격한다. 난동 부린 뒤에는 혼란에 빠진다.,15,0,120,100,10,0,11,1,,,,,,2
201,Sandstorm,すなあらし,모래바람,"Changes the weather to a sandstorm for five turns. Pokémon that are not ground, rock, or steel take 1/16 their max HP at the end of every turn. Every rock Pokémon's original Special Defense is raised by 50% for the duration of this effect. solar beam's power is halved. moonlight, morning sun, and synthesis only heal 1/4 the user's max HP.","5턴 동안 모래바람으로 바위, 땅, 강철타입 이외의 포켓몬에게 데미지를 준다.",5,2,,,10,0,12,0,,,,,,2
202,Giga Drain,ギガドレイン,기가드레인,Inflicts regular damage. Drains half the damage inflicted to heal the user.,양분을 흡수하여 공격한다. 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.,11,1,75,100,10,0,0,0,,50,,,,2
203,Endure,こらえる,버티기,"The user's HP cannot be lowered below 1 by any means for the remainder of this turn. If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail. This move cannot be selected by assist or metronome.",공격을 받아도 HP를 반드시 1만큼은 남긴다. 연속으로 쓰면 실패하기 쉽다.,0,2,,,10,4,9,0,,,,,,2
204,Charm,あまえる,애교부리기,Lowers the target's Attack by two stages.,귀엽게 바라보고 방심을 유도하여 상대의 공격을 크게 떨어뜨린다.,17,2,,100,20,0,0,0,,,,,,2
205,Rollout,ころがる,구르기,"Inflicts regular damage. User is forced to use this move for five turns. Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends. If this move misses or becomes unusable, the lock-in ends. If the user has used defense curl since entering the field, this move has double power.",5턴 동안 구르기를 반복하여 공격한다. 기술이 맞을 때마다 위력이 올라간다.,5,0,30,90,20,0,0,1,,,,,,2
206,False Swipe,みねうち,칼등치기,Inflicts regular damage. Will not reduce the target's HP below 1.,상대의 HP가 반드시 1만큼 남도록 조절하여 공격한다.,0,0,40,100,40,0,0,1,,,,,,2
207,Swagger,いばる,뽐내기,"Raises the target's Attack by two stages, then confuses it. If the target's Attack cannot be raised by two stages, the confusion is not applied.",상대를 화내게 해서 혼란시킨다. 분노로 상대의 공격은 크게 올라가 버린다.,0,2,,85,15,0,0,0,,,,,,2
208,Milk Drink,ミルクのみ,우유마시기,Heals the user for half its max HP.,자신의 최대 HP 절반을 회복한다. 동료에게 HP를 나누어 줄 수도 있다.,0,2,,,5,0,9,0,,,50,,,2
209,Spark,スパーク,스파크,Inflicts regular damage. Has a 30% chance to paralyze the target.,전기를 둘러 상대에게 돌진하여 공격한다. 마비 상태로 만들 때가 있다.,12,0,65,100,20,0,0,1,,,,,,2
210,Fury Cutter,れんぞくぎり,연속자르기,"Inflicts regular damage. Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x. If this move misses or the user leaves the field, power resets.",낫이나 발톱 등으로 상대를 베어 공격한다. 연속으로 맞히면 위력이 올라간다.,6,0,40,95,20,0,0,1,,,,,,2
211,Steel Wing,はがねのつばさ,강철날개,Inflicts regular damage. Has a 10% chance to raise the user's Defense one stage.,단단한 날개를 상대에게 부딪쳐서 공격한다. 자신의 방어가 올라갈 때가 있다.,8,0,70,90,25,0,0,1,,,,,,2
212,Mean Look,くろいまなざし,검은눈빛,"The target cannot switch out normally. Ignores accuracy and evasion modifiers. This effect ends when the user leaves the field. The target may still escape by using baton pass, u turn, or a shed shell. Both the user and the target pass on this effect with baton pass.",빨려 들어갈 것 같은 까만 눈빛으로 가만히 응시하여 상대를 배틀에서 도망갈 수 없게 한다.,0,2,,,5,0,0,0,,,,,,2
213,Attract,メロメロ,헤롱헤롱,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn. If the user and target are the same gender, or either is genderless, this move will fail. If either Pokémon leaves the field, this effect ends.",수컷은 암컷을 암컷은 수컷을 유혹하여 헤롱헤롱하게 만든다. 상대가 기술을 쓰기 어려워진다.,0,2,,100,15,0,0,0,,,,,,2
214,Sleep Talk,ねごと,잠꼬대,"Only usable if the user is sleeping. Randomly selects and uses one of the user's other three moves. Use of the selected move requires and costs 0 PP. This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar. If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it's forced to use this move again and pay another PP for the recharge turn. This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",자신이 배운 기술 중 하나를 무작위로 날린다. 자신이 잠들어 있을 때만 쓸 수 있다.,0,2,,,10,0,9,0,,,,,,2
215,Heal Bell,いやしのすず,치료방울,Removes major status effects and confusion from every Pokémon in the user's party.,기분 좋은 방울소리를 들려주어 같은 편 전원의 상태 이상을 회복한다.,0,2,,,5,0,7,0,,,,,,2
216,Return,おんがえし,은혜갚기,"Inflicts regular damage. Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102. Power bottoms out at 1.",트레이너를 위해 전력으로 상대를 공격한다. 친밀할수록 위력이 올라간다.,0,0,,100,20,0,0,1,,,,,,2
217,Present,プレゼント,프레젠트,"Randomly uses one of the following effects. Effect                       | Chance -------------------------------------------------- | -----: Inflicts regular damage with 40 power |  40% Inflicts regular damage with 80 power |  30% Inflicts regular damage with 120 power |  10% Heals the target for 1/4 its max HP  |  20% On average, this move inflicts regular damage with 52 power and heals the target for 1/20 its max HP.",덫을 설치한 상자를 상대에게 건네어 공격한다. HP가 회복돼버릴 때도 있다.,0,0,,90,15,0,0,0,,,,,,2
218,Frustration,やつあたり,화풀이,"Inflicts regular damage. Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102. Power bottoms out at 1.",불만을 풀기 위해 전력으로 상대를 공격한다. 친밀하지 않을수록 위력이 올라간다.,0,0,,100,20,0,0,1,,,,,,2
219,Safeguard,しんぴのまもり,신비의부적,"Protects Pokémon on the user's side of the field from major status effects and confusion for five turns. Does not cancel existing ailments. This effect remains even if the user leaves the field. If yawn is used while this move is in effect, it will immediately fail. defog used by an opponent will end this effect. This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",5턴 동안 이상한 힘으로 보호받아 상태 이상이 되지 않는다.,0,2,,,25,0,14,0,,,,,,2
220,Pain Split,いたみわけ,아픔나누기,Changes the user's and target's remaining HP to the average of their current remaining HP. Ignores accuracy and evasion modifiers. This effect does not count as inflicting damage for other moves and effects that respond to damage taken. This effect fails against a substitute.,자신의 HP와 상대의 HP를 합친 것을 자신과 상대가 사이좋게 나눈다.,0,2,,,20,0,0,0,,,,,,2
221,Sacred Fire,せいなるほのお,성스러운불꽃,"Inflicts regular damage. Has a 50% chance to burn the target. Frozen Pokémon may use this move, in which case they will thaw.",신비한 불꽃으로 상대를 태워서 공격한다. 화상 상태로 만들 때가 있다.,9,0,100,95,5,0,0,0,,,,,,2
222,Magnitude,マグニチュード,매그니튜드,"Inflicts regular damage. Power is selected at random between 10 and 150, with an average of 71: Magnitude | Power | Chance --------: | ----: | -----:     4 |  10 |   5%     5 |  30 |  10%     6 |  50 |  20%     7 |  70 |  30%     8 |  90 |  20%     9 |  110 |  10%    10 |  150 |   5% This move has double power against Pokémon currently underground due to dig.",땅을 흔들어서 자신의 주위에 있는 포켓몬을 공격한다. 기술의 위력이 여러모로 바뀐다.,4,0,,100,30,0,5,0,,,,,,2
223,Dynamic Punch,ばくれつパンチ,폭발펀치,Inflicts regular damage. Has a 100% chance to confuse the target.,혼신의 힘으로 펀치를 날려서 공격한다. 상대를 반드시 혼란시킨다.,1,0,100,50,5,0,0,1,,,,,,2
224,Megahorn,メガホーン,메가혼,Inflicts regular damage.,단단하고 훌륭한 뿔로 마음껏 상대를 꿰찔러서 공격한다.,6,0,120,85,10,0,0,1,,,,,,2
225,Dragon Breath,りゅうのいぶき,용의숨결,Inflicts regular damage. Has a 30% chance to paralyze the target.,굉장한 숨결을 상대에게 내뿜어 공격한다. 마비 상태로 만들 때가 있다.,15,1,60,100,20,0,0,0,,,,,,2
226,Baton Pass,バトンタッチ,배턴터치,"User switches out, and the trainer selects a replacement Pokémon from the party. Stat changes, confusion, and persistent move effects are passed along to the replacement Pokémon. The following move effects are passed: * aqua ring * both the user's and target's effect of block, mean look, and spider web * the curse effect of curse * embargo * focus energy or an activated lansat berry * gastro acid * ingrain * being sapped by leech seed * being targeted by lock on or mind reader * magnet rise * perish song's counter * power trick * substitute; the doll's HP is unchanged The replacement Pokémon does not trigger effects that respond to Pokémon switching in.",교대 포켓몬과 바뀐다. 능력 변화는 바뀐 포켓몬이 그대로 이어받는다.,0,2,,,40,0,9,0,,,,,,2
227,Encore,アンコール,앙코르,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move. If the selected move allows the trainer to select a target, an opponent will be selected at random each turn. If the target is prevented from using the selected move by some other effect, struggle will be used instead. This effect ends if the selected move runs out of PP. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, if it does not know the selected move, or if the selected move has 0 PP remaining, this move will fail. If the target's last used move was encore, mimic, mirror move, sketch, struggle, or transform, this move will fail.",상대가 마지막으로 사용한 기술을 3턴 동안 계속 쓰게 한다.,0,2,,100,5,0,0,0,,,,,,2
228,Pursuit,おいうち,따라가때리기,"Inflicts regular damage. If the target attempts to switch out this turn before the user acts, this move hits the target before it leaves and has double power. This effect can still hit a Pokémon that switches out when it has a substitute up or when an ally has used follow me.",상대 포켓몬이 교체될 때 기술을 쓰면 2배의 위력으로 공격할 수 있다.,16,0,40,100,20,0,0,1,,,,,,2
229,Rapid Spin,こうそくスピン,고속스핀,"Inflicts regular damage. Removes leech seed from the user, frees the user from bind, clamp, fire spin, magma storm, sand tomb, whirlpool, and wrap, and clears spikes, stealth rock, and toxic spikes from the user's side of the field. If this move misses or has no effect, its effect doesn't activate.","회전해서 상대를 공격한다. 조이기, 김밥말이, 씨뿌리기, 압정뿌리기 등도 날려버린다.",0,0,50,100,40,0,0,1,,,,,,2
230,Sweet Scent,あまいかおり,달콤한향기,Lowers the target's evasion by one stage.,향기로 상대의 회피율을 크게 떨어뜨린다. 풀밭 등에서 쓰면 포켓몬이 다가온다.,0,2,,100,20,0,6,0,,,,,,2
231,Iron Tail,アイアンテール,아이언테일,Inflicts regular damage. Has a 30% chance to lower the target's Defense by one stage.,단단한 꼬리로 상대를 힘껏 쳐서 공격한다. 상대의 방어를 떨어뜨릴 때가 있다.,8,0,100,75,15,0,0,1,,,,,,2
232,Metal Claw,メタルクロー,메탈클로,Inflicts regular damage. Has a 10% chance to raise the user's Attack one stage.,강철의 발톱으로 상대를 베어 갈라 공격한다. 자신의 공격이 올라갈 때도 있다.,8,0,50,95,35,0,0,1,,,,,,2
233,Vital Throw,あてみなげ,받아던지기,Inflicts regular damage. Ignores accuracy and evasion modifiers.,상대보다 나중에 공격한다. 그 대신 자신의 공격은 반드시 명중한다.,1,0,70,,10,-1,0,1,,,,,,2
234,Morning Sun,あさのひざし,아침햇살,"Heals the user for half its max HP. During sunny day, the healing is increased to 2/3 max HP. During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",자신의 HP를 회복한다. 날씨에 따라 회복량이 변한다.,0,2,,,5,0,9,0,,,50,,,2
235,Synthesis,こうごうせい,광합성,"Heals the user for half its max HP. During sunny day, the healing is increased to 2/3 max HP. During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",자신의 HP를 회복한다. 날씨에 따라 회복량이 변한다.,11,2,,,5,0,9,0,,,50,,,2
236,Moonlight,つきのひかり,달빛,"Heals the user for half its max HP. During sunny day, the healing is increased to 2/3 max HP. During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",자신의 HP를 회복한다. 날씨에 따라 회복량이 변한다.,17,2,,,5,0,9,0,,,50,,,2
237,Hidden Power,めざめるパワー,잠재파워,"Inflicts regular damage. Power and type are determined by the user's IVs. Power is given by `x * 40 / 63 + 30`. `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order. (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`. `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.) Power is always between 30 and 70, inclusive. Average power is 49.5. Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0. (Bit 0 is 1 if the IV is odd.) The result is looked up in the following table. Value | Type ----: | --------   0 | fighting   1 | flying   2 | poison   3 | ground   4 | rock   5 | bug   6 | ghost   7 | steel   8 | fire   9 | water  10 | grass  11 | electric  12 | psychic  13 | ice  14 | dragon  15 | dark This move thus cannot be normal. Most other types have an equal 1/16 chance to be selected, given random IVs. However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",기술을 쓴 포켓몬에 따라 기술의 타입이 바뀐다.,0,1,60,100,15,0,0,0,,,,,,2
238,Cross Chop,クロスチョップ,크로스촙,Inflicts regular damage. User's critical hit rate is one level higher when using this move.,양손으로 당수를 상대에게 힘껏 쳐서 공격한다. 급소에 맞기 쉽다.,1,0,100,80,5,0,0,1,1,,,,,2
239,Twister,たつまき,회오리,"Inflicts regular damage. Has a 20% chance to make each target flinch. If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",회오리를 일으켜 상대를 끌어들여 공격한다. 상대를 풀죽게 만들 때가 있다.,15,1,40,100,20,0,6,0,,,,,,2
240,Rain Dance,あまごい,비바라기,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage. If the user is holding damp rock, this effect lasts for eight turns. thunder has 100% accuracy. If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection. solar beam has half power. moonlight, morning sun, and synthesis heal only 1/4 of the user's max HP. Pokémon with swift swim have doubled original Speed. Pokémon with forecast become water. Pokémon with dry skin heal 1/8 max HP, Pokémon with hydration are cured of major status effects, and Pokémon with rain dish heal 1/16 max HP at the end of each turn.",5턴 동안 비를 내리게 하여 물타입 기술의 위력을 올린다.,10,2,,,5,0,12,0,,,,,,2
241,Sunny Day,にほんばれ,쾌청,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage. If the user is holding heat rock, this effect lasts for eight turns. Pokémon cannot become frozen. thunder has 50% accuracy. solar beam skips its charge turn. moonlight, morning sun, and synthesis heal 2/3 of the user's max HP. Pokémon with chlorophyll have doubled original Speed. Pokémon with forecast become fire. Pokémon with leaf guard are not affected by major status effects. Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%. Pokémon with dry skin lose 1/8 max HP at the end of each turn. Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",5턴 동안 햇살을 강하게 해서 불꽃타입 기술의 위력을 올린다.,9,2,,,5,0,12,0,,,,,,2
242,Crunch,かみくだく,깨물어부수기,Inflicts regular damage. Has a 20% chance to lower the target's Defense by one stage.,날카로운 이빨로 상대를 깨물어 부숴서 공격한다. 상대의 방어를 떨어뜨릴 때가 있다.,16,0,80,100,15,0,0,1,,,,,,2
243,Mirror Coat,ミラーコート,미러코트,"Targets the last opposing Pokémon to hit the user with a special move this turn. Inflicts twice the damage that move did to the user. If there is no eligible target, this move will fail. Type immunity applies, but other type effects are ignored. This move cannot be copied by mirror move, nor selected by assist or metronome.",상대에게 받은 특수공격의 데미지를 2배로 만들어 그 상대에게 돌려준다.,13,1,,100,20,-5,15,0,,,,,,2
244,Psych Up,じこあんじ,자기암시,Discards the user's stat changes and copies the target's. This move cannot be copied by mirror move.,자신에게 암시를 걸어서 능력 변화 상태를 상대와 똑같은 상태로 만든다.,0,2,,,10,0,0,0,,,,,,2
245,Extreme Speed,しんそく,신속,Inflicts regular damage.,눈에 보이지 않는 굉장한 속도로 상대에게 돌진하여 공격한다. 반드시 선제공격을 할 수 있다.,0,0,80,100,5,2,0,1,,,,,,2
246,Ancient Power,げんしのちから,원시의힘,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.,원시의 힘으로 공격한다. 자신의 모든 능력이 오를 때가 있다.,5,1,60,100,5,0,0,0,,,,,,2
